policy,family,success_rate,mean_wins,mean_return,cutoff_rate,mean_actions
single-seed101,greedy,0.83,9.09,7.365,0.117,115.429
single-seed101,stats,0.76,8.577,6.263,0.112,119.089
single-seed101,summon,0.665,8.005,5.352,0.138,120.944
single-seed101,round2_challenge,0.251,5.337,1.107,0.126,111.545
mixed-seed101,greedy,0.9,9.292,7.396,0.009,85.637
mixed-seed101,stats,0.84,8.852,6.508,0.004,85.307
mixed-seed101,summon,0.752,8.341,5.625,0.005,86.07
mixed-seed101,round2_challenge,0.344,5.449,1.2,0.008,78.114
single-seed211,greedy,0.933,9.612,8.07,0.025,92.019
single-seed211,stats,0.854,9.056,6.933,0.033,90.938
single-seed211,summon,0.817,8.853,6.407,0.031,96.101
single-seed211,round2_challenge,0.415,6.394,2.459,0.03,89.237
mixed-seed211,greedy,0.928,9.483,7.957,0.006,68.086
mixed-seed211,stats,0.889,9.182,7.185,0.011,69.855
mixed-seed211,summon,0.821,8.793,6.503,0.008,70.81
mixed-seed211,round2_challenge,0.395,5.825,1.796,0.009,64.948
single-seed307,greedy,0.81,8.651,6.757,0.11,108.131
single-seed307,stats,0.76,8.239,5.834,0.101,109.097
single-seed307,summon,0.623,7.362,4.572,0.12,108.29
single-seed307,round2_challenge,0.276,4.781,0.638,0.103,93.738
mixed-seed307,greedy,0.887,9.209,7.563,0.056,108.876
mixed-seed307,stats,0.825,8.737,6.517,0.059,110.467
mixed-seed307,summon,0.722,8.311,5.594,0.052,112.683
mixed-seed307,round2_challenge,0.223,5.043,0.7,0.071,101.794
round2,greedy,0.917,9.46,7.678,0.012,76.237
round2,stats,0.835,8.911,6.503,0.007,76.577
round2,summon,0.742,8.367,5.532,0.005,77.65
round2,round2_challenge,0.254,5.022,0.592,0.007,66.493
greedy,greedy,0.437,5.757,1.783,0.0,49.571
greedy,stats,0.275,4.226,-0.191,0.0,42.982
greedy,summon,0.186,3.267,-1.368,0.0,39.877
greedy,round2_challenge,0.014,1.512,-3.461,0.0,30.808
random,greedy,0.0,0.043,-4.787,0.085,48.327
random,stats,0.0,0.015,-4.818,0.09,47.801
random,summon,0.0,0.029,-4.819,0.081,47.727
random,round2_challenge,0.0,0.02,-4.811,0.093,48.618
